main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela
"Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 109 M², Id: 60556","Medellín, Roma Norte, Cuauhtémoc, Distrito Federal",299,depto,venta,,19.4207309,-99.1667851,2.0,2.0,2.0,109.0,109.0,20.0,6950000.0,metros_cubicos,POINT (-99.1667851 19.4207309),12624,0901500010998,09,015,0001,0998,Urbana,23,345.0,28.0,70.0,57.0,7.0
Venta Departamento Roma Norte,"Venta Departamento, Roma Norte, Cuauhtémoc, Distrito Federal",300,depto,venta,3.0,19.4214968,-99.165573,2.0,2.0,3.0,93.0,93.0,10.0,5950000.0,metros_cubicos,POINT (-99.16557299999999 19.4214968),12624,0901500010998,09,015,0001,0998,Urbana,24,389.0,23.0,93.0,75.0,11.0
Venta Departamento Roma Norte,"Venta Departamento, Roma Sur, Cuauhtémoc, Distrito Federal",306,depto,venta,3.0,19.4214968,-99.165573,2.0,2.0,3.0,93.0,93.0,10.0,5950000.0,metros_cubicos,POINT (-99.16557299999999 19.4214968),12624,0901500010998,09,015,0001,0998,Urbana,25,389.0,23.0,93.0,75.0,11.0
Casa Uso De Suelo  En  Venta En Colonia Roma Norte,"Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",313,casa,venta,4.0,19.4221155,-99.1650541,,,,150.0,425.0,26.0,30000000.0,metros_cubicos,POINT (-99.16505410000001 19.4221155),12624,0901500010998,09,015,0001,0998,Urbana,26,416.0,21.0,99.0,91.0,11.0
"Renta De Departamento Amueblado En Colonia Roma Norte, Cdmx","Roma Norte, Cuauhtémoc, Distrito Federal",315,depto,renta,31.0,19.4221155,-99.1650541,1.0,1.0,3.0,70.0,70.0,45.0,17000.0,metros_cubicos,POINT (-99.16505410000001 19.4221155),12624,0901500010998,09,015,0001,0998,Urbana,27,416.0,21.0,99.0,91.0,11.0
Departamento En Renta En Col. Roma Norte,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",322,depto,renta,3.0,19.4202,-99.1684,2.0,1.0,3.0,109.0,109.0,14.0,25000.0,metros_cubicos,POINT (-99.16840000000001 19.4202),12624,0901500010998,09,015,0001,0998,Urbana,28,424.0,32.0,77.0,77.0,10.0
Bonito Departamento  Con Balcon Y Con Gimnasio En La Colonia,"Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",338,depto,renta,2.0,19.4221155,-99.1650541,2.0,2.0,2.0,95.0,95.0,0.0,24000.0,metros_cubicos,POINT (-99.16505410000001 19.4221155),12624,0901500010998,09,015,0001,0998,Urbana,29,416.0,21.0,99.0,91.0,11.0
#009 Remato Departamento En La Roma Norte,"Av Oaxaca 56, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",345,depto,venta,37.0,19.4207579,-99.1653895,2.0,2.0,3.0,100.0,100.0,17.0,600000.0,metros_cubicos,POINT (-99.1653895 19.4207579),12624,0901500010998,09,015,0001,0998,Urbana,30,375.0,28.0,93.0,67.0,13.0
Vendo Departamento En La Roma Con Terraza,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",408,depto,venta,10.0,19.4202853,-99.1696874,2.0,2.0,1.0,158.0,158.0,0.0,6900000.0,metros_cubicos,POINT (-99.1696874 19.4202853),12624,0901500010998,09,015,0001,0998,Urbana,31,424.0,28.0,74.0,92.0,13.0
Departamento En Venta Roma Norte,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",448,depto,venta,31.0,19.4202,-99.1684,2.0,2.0,2.0,109.0,109.0,14.0,5700000.0,metros_cubicos,POINT (-99.16840000000001 19.4202),12624,0901500010998,09,015,0001,0998,Urbana,32,424.0,32.0,77.0,77.0,10.0
Vendo Increíble Departamento Con Terraza Y Balcon,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",457,depto,venta,1.0,19.4202448,-99.1695894,2.0,2.0,2.0,160.0,160.0,0.0,6900000.0,metros_cubicos,POINT (-99.16958940000001 19.4202448),12624,0901500010998,09,015,0001,0998,Urbana,33,408.0,29.0,64.0,90.0,13.0
D107 - Av. Chapultepec,"Avenida Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",473,depto,venta,,19.423094,-99.164185,2.0,1.0,2.0,85.0,85.0,0.0,4445000.0,metros_cubicos,POINT (-99.164185 19.423094),12624,0901500010998,09,015,0001,0998,Urbana,34,641.0,18.0,118.0,271.0,15.0
Departamento Venta  Roma Norte.,"Durango, Roma Norte, Cuauhtémoc, Distrito Federal",475,depto,venta,1.0,19.4202688,-99.1642694,2.0,1.0,2.0,0.0,100.0,60.0,4900000.0,metros_cubicos,POINT (-99.16426939999999 19.4202688),12624,0901500010998,09,015,0001,0998,Urbana,35,327.0,18.0,74.0,61.0,12.0
Venta De Dos Departamentos En Col. Roma Norte,"Avenida Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",477,depto,venta,1.0,19.422946,-99.1652713,1.0,,2.0,88.0,88.0,0.0,3500000.0,metros_cubicos,POINT (-99.1652713 19.422946),12624,0901500010998,09,015,0001,0998,Urbana,36,612.0,15.0,121.0,245.0,11.0
Departamento En Renta Roma Norte,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",490,depto,renta,31.0,19.4202,-99.1684,2.0,2.0,2.0,109.0,109.0,14.0,22200.0,metros_cubicos,POINT (-99.16840000000001 19.4202),12624,0901500010998,09,015,0001,0998,Urbana,37,424.0,32.0,77.0,77.0,10.0
Departamento En Venta En Col.roma Norte,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",492,depto,venta,3.0,19.4202,-99.1684,2.0,1.0,3.0,109.0,109.0,14.0,6500000.0,metros_cubicos,POINT (-99.16840000000001 19.4202),12624,0901500010998,09,015,0001,0998,Urbana,38,424.0,32.0,77.0,77.0,10.0
"D439 - Oaxaca, Roma Norte","Oaxaca, Roma Norte, Cuauhtémoc, Distrito Federal",507,depto,venta,,19.42234,-99.164163,2.0,,2.0,77.0,77.0,0.0,5440000.0,metros_cubicos,POINT (-99.164163 19.42234),12624,0901500010998,09,015,0001,0998,Urbana,39,394.0,20.0,81.0,91.0,13.0
Chapultepec 322 - Roma Norte,"Av Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",523,depto,venta,28.0,19.4229918,-99.1642322,2.0,1.0,2.0,85.0,85.0,2.0,5795000.0,metros_cubicos,POINT (-99.1642322 19.4229918),12624,0901500010998,09,015,0001,0998,Urbana,40,605.0,17.0,106.0,256.0,12.0
Hermoso Departamento En El Corazón De La Roma,"Av. Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",528,depto,venta,5.0,19.4229547,-99.1652534,2.0,1.0,2.0,85.0,85.0,0.0,4995000.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,41,612.0,15.0,120.0,246.0,11.0
"Renta Departamento Roma Norte , Calle Puebla","Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",541,depto,renta,35.0,19.4221155,-99.1650541,2.0,,2.0,120.0,120.0,52.0,20000.0,metros_cubicos,POINT (-99.16505410000001 19.4221155),12624,0901500010998,09,015,0001,0998,Urbana,42,416.0,21.0,99.0,91.0,11.0
"Valladolid, Roma Norte","Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",621,depto,venta,5.0,19.419863,-99.1682223,2.0,1.0,2.0,114.0,114.0,11.0,6250000.0,metros_cubicos,POINT (-99.1682223 19.419863),12624,0901500010998,09,015,0001,0998,Urbana,43,437.0,31.0,77.0,83.0,9.0
Loft En Venta Ubicado En La Colonia Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",692,depto,venta,4.0,19.4219017,-99.1635997,1.0,1.0,,0.0,39.0,0.0,3237500.0,metros_cubicos,POINT (-99.16359970000001 19.4219017),12624,0901500010998,09,015,0001,0998,Urbana,44,365.0,17.0,79.0,87.0,14.0
Se Vende Departamento Col. Roma Norte,"Valladolid 3, Roma Norte, Cuauhtémoc, Distrito Federal",708,depto,venta,3.0,19.421949,-99.1689171,2.0,1.0,3.0,107.0,107.0,0.0,4900000.0,metros_cubicos,POINT (-99.1689171 19.421949),12624,0901500010998,09,015,0001,0998,Urbana,45,363.0,10.0,75.0,67.0,8.0
"Departamento Con Excelente Distribución, Céntrico, Muy Buena Vista Y Gran Iluminación, A Unas Cuadras De La Bella Zona Turística De La Colonia Roma.","Salamanca 52, Roma Norte, Cuauhtémoc, Distrito Federal",763,depto,venta,3.0,19.41987,-99.169508,2.0,,2.0,0.0,64.0,0.0,4700000.0,metros_cubicos,POINT (-99.16950799999999 19.41987),12624,0901500010998,09,015,0001,0998,Urbana,46,431.0,32.0,67.0,94.0,13.0
"3929 Puebla, Roma Norte","Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",802,depto,venta,,19.421857,-99.165886,1.0,1.0,2.0,110.0,110.0,0.0,4875000.0,metros_cubicos,POINT (-99.165886 19.421857),12624,0901500010998,09,015,0001,0998,Urbana,47,364.0,21.0,82.0,66.0,10.0
Venta Lindo Y Cómodo Depto. Col. Roma Con Roof Garden,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",807,depto,venta,7.0,19.419863,-99.1682223,2.0,2.0,2.0,110.0,110.0,11.0,5700000.0,metros_cubicos,POINT (-99.1682223 19.419863),12624,0901500010998,09,015,0001,0998,Urbana,48,437.0,31.0,77.0,83.0,9.0
Departamento En Venta Roma Norte (m2d2005),"Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",816,depto,venta,,19.42064,-99.1702226,1.0,,1.0,40.0,40.0,0.0,4120000.0,metros_cubicos,POINT (-99.1702226 19.42064),12624,0901500010998,09,015,0001,0998,Urbana,49,412.0,23.0,74.0,92.0,13.0
"Roma Norte, Ubicadísimo Y Lindo Departamento En Renta","Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",823,depto,renta,,19.4219472,-99.1689252,2.0,1.0,2.0,107.0,107.0,15.0,25000.0,metros_cubicos,POINT (-99.1689252 19.4219472),12624,0901500010998,09,015,0001,0998,Urbana,50,362.0,10.0,75.0,66.0,8.0
"Departamento En Venta, Cuauhtémoc, Ciudad De México","Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",856,depto,venta,18.0,19.4221155,-99.1650541,2.0,2.0,3.0,0.0,93.0,0.0,5956000.0,metros_cubicos,POINT (-99.16505410000001 19.4221155),12624,0901500010998,09,015,0001,0998,Urbana,51,416.0,21.0,99.0,91.0,11.0
Departamento Pent House Nuevo En Venta En Colonia Roma,"Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",859,depto,venta,4.0,19.4206466,-99.170547,2.0,2.0,2.0,99.0,99.0,0.0,7690640.0,metros_cubicos,POINT (-99.170547 19.4206466),12624,0901500010998,09,015,0001,0998,Urbana,52,425.0,23.0,78.0,96.0,12.0
Departamento Pent House Nuevo En Venta En Colonia Roma,"Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",1015,depto,venta,4.0,19.4206466,-99.170547,2.0,2.0,2.0,107.0,107.0,0.0,9086780.0,metros_cubicos,POINT (-99.170547 19.4206466),12624,0901500010998,09,015,0001,0998,Urbana,53,425.0,23.0,78.0,96.0,12.0
Departamento En Venta Roma Norte,"Valladolid0, Roma Norte, Cuauhtémoc, Distrito Federal",1020,depto,venta,8.0,19.419863,-99.1682223,1.0,,1.0,0.0,42.0,0.0,3425000.0,metros_cubicos,POINT (-99.1682223 19.419863),12624,0901500010998,09,015,0001,0998,Urbana,54,437.0,31.0,77.0,83.0,9.0
"D649 - Sinaloa, Roma Norte","Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",1026,depto,venta,,19.420114,-99.170194,2.0,1.0,2.0,103.0,103.0,0.0,6820000.0,metros_cubicos,POINT (-99.170194 19.420114),12624,0901500010998,09,015,0001,0998,Urbana,55,449.0,75.0,65.0,88.0,12.0
Increíble Departamento En Renta,"Oaxaca, Roma Norte, Cuauhtémoc, Distrito Federal",1082,depto,renta,6.0,19.4196971,-99.1665131,1.0,,2.0,100.0,100.0,2.0,21000.0,metros_cubicos,POINT (-99.1665131 19.4196971),12624,0901500010998,09,015,0001,0998,Urbana,56,427.0,33.0,77.0,74.0,8.0
Departamento En Venta Con Terraza En La Roma Norte,"Av Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1089,depto,venta,7.0,19.422946,-99.1652713,2.0,1.0,2.0,93.0,93.0,0.0,4595000.0,metros_cubicos,POINT (-99.1652713 19.422946),12624,0901500010998,09,015,0001,0998,Urbana,57,612.0,15.0,121.0,245.0,11.0
Departamento En Venta Roma Norte,"Av. Insurgentes Sur179, Roma Norte, Cuauhtémoc, Distrito Federal",1173,depto,venta,13.0,19.421902,-99.1636,1.0,,1.0,0.0,34.0,0.0,2820000.0,metros_cubicos,POINT (-99.1636 19.421902),12624,0901500010998,09,015,0001,0998,Urbana,58,365.0,17.0,79.0,87.0,14.0
Departamento - Roma Norte,"Puebla 277 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal",1177,depto,venta,36.0,19.4213841,-99.1690072,2.0,2.0,2.0,74.0,71.0,0.0,5580000.0,metros_cubicos,POINT (-99.1690072 19.4213841),12624,0901500010998,09,015,0001,0998,Urbana,59,409.0,30.0,79.0,80.0,9.0
Departamento - Roma Norte,"Puebla 277 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal",1185,depto,venta,36.0,19.4213841,-99.1690072,2.0,2.0,2.0,74.0,71.0,0.0,5625000.0,metros_cubicos,POINT (-99.1690072 19.4213841),12624,0901500010998,09,015,0001,0998,Urbana,60,409.0,30.0,79.0,80.0,9.0
Departamento - Roma Norte,"Puebla 277 Roma Norte, Cuauhtémoc, Distrito Federal",1195,depto,venta,36.0,19.4213841,-99.1690072,2.0,2.0,2.0,107.0,104.0,0.0,7390000.0,metros_cubicos,POINT (-99.1690072 19.4213841),12624,0901500010998,09,015,0001,0998,Urbana,61,409.0,30.0,79.0,80.0,9.0
Departamento - Roma Norte,"Puebla 277 Roma Norte, Cuauhtémoc, Distrito Federal",1213,depto,venta,36.0,19.4213841,-99.1690072,3.0,2.0,3.0,256.0,123.0,0.0,13800000.0,metros_cubicos,POINT (-99.1690072 19.4213841),12624,0901500010998,09,015,0001,0998,Urbana,62,409.0,30.0,79.0,80.0,9.0
Departamento - Roma Norte,"Puebla 277 Roma Norte, Cuauhtémoc, Distrito Federal",1214,depto,venta,36.0,19.4213841,-99.1690072,2.0,2.0,3.0,320.0,108.0,0.0,12400000.0,metros_cubicos,POINT (-99.1690072 19.4213841),12624,0901500010998,09,015,0001,0998,Urbana,63,409.0,30.0,79.0,80.0,9.0
"9577 Puebla, Roma Norte","Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",1250,depto,venta,,19.422406,-99.16488,2.0,2.0,3.0,93.0,93.0,0.0,5956000.0,metros_cubicos,POINT (-99.16488 19.422406),12624,0901500010998,09,015,0001,0998,Urbana,64,379.0,19.0,75.0,83.0,12.0
Increible Departamento En La Mejor Zona De La Colonia Roma N,"Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",1257,depto,venta,,19.4219472,-99.1689252,2.0,1.0,2.0,107.0,107.0,15.0,5950000.0,metros_cubicos,POINT (-99.1689252 19.4219472),12624,0901500010998,09,015,0001,0998,Urbana,65,362.0,10.0,75.0,66.0,8.0
Departamento  Venta Roma Exterior Con Balcon,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",1315,depto,venta,1.0,19.420232,-99.1696743,2.0,,2.0,107.0,107.0,11.0,7190000.0,metros_cubicos,POINT (-99.1696743 19.420232),12624,0901500010998,09,015,0001,0998,Urbana,66,411.0,28.0,64.0,91.0,13.0
"Chapultepec, Roma Norte","Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1351,depto,venta,5.0,19.4229547,-99.1652534,1.0,,1.0,37.0,37.0,0.0,2878798.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,67,612.0,15.0,120.0,246.0,11.0
Roma Norte,"Sinaloa, Roma Sur, Cuauhtémoc, Distrito Federal",1358,depto,venta,8.0,19.4203748,-99.168491,1.0,1.0,1.0,80.0,80.0,0.0,5500000.0,metros_cubicos,POINT (-99.168491 19.4203748),12624,0901500010998,09,015,0001,0998,Urbana,68,434.0,33.0,79.0,78.0,9.0
"Preventa En La Colonia Roma Norte, Chapultepec","Av. Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1368,depto,venta,5.0,19.4229547,-99.1652534,,,,34.0,34.0,0.0,2793102.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,69,612.0,15.0,120.0,246.0,11.0
Departamento En Venta En Roma Norte Av Chapultepec 22-3107,"Roma Norte, Cuauhtémoc, Distrito Federal",1370,depto,venta,33.0,19.4229547,-99.1652534,2.0,1.0,2.0,86.0,86.0,0.0,4913500.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,70,612.0,15.0,120.0,246.0,11.0
Departamento En Venta En Avenida Chapultepec 22-3111,"Roma Norte, Cuauhtémoc, Distrito Federal",1371,depto,venta,33.0,19.4229547,-99.1652534,2.0,1.0,2.0,61.0,61.0,0.0,4430000.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,71,612.0,15.0,120.0,246.0,11.0
"Departamento En Venta, Cuauhtémoc, Ciudad De México","Av. Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1391,depto,venta,18.0,19.4229547,-99.1652534,2.0,2.0,2.0,0.0,61.0,0.0,4300000.0,metros_cubicos,POINT (-99.1652534 19.4229547),12624,0901500010998,09,015,0001,0998,Urbana,72,612.0,15.0,120.0,246.0,11.0
"D1278 - Salamanca, Roma Norte","Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",1415,depto,venta,,19.42064,-99.17022,1.0,,1.0,40.0,40.0,0.0,4120000.0,metros_cubicos,POINT (-99.17022 19.42064),12624,0901500010998,09,015,0001,0998,Urbana,73,412.0,23.0,74.0,92.0,13.0
"Gran Preventa¡¡¡ Departamento De 1 Recamara, Col. Roma Norte","Durango, Roma Norte, Cuauhtémoc, Distrito Federal",1416,depto,venta,48.0,19.4200874,-99.1670435,1.0,,,42.0,42.0,0.0,3998850.0,metros_cubicos,POINT (-99.16704350000001 19.4200874),12624,0901500010998,09,015,0001,0998,Urbana,74,381.0,35.0,65.0,65.0,7.0
"D1030 - Av. Chapultepec, Roma Norte","Av  Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1456,depto,venta,,19.421948,-99.16916,1.0,,1.0,29.0,29.0,0.0,2752944.0,metros_cubicos,POINT (-99.16916000000001 19.421948),12624,0901500010998,09,015,0001,0998,Urbana,75,370.0,11.0,75.0,71.0,9.0
